1457638    20220803EQ        INSTA214                 98552025            98552025 1.11           2      1642000000000001000000000000001100000000000000001100000000000000000550000000000000000550000000000000000517100000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000550000000400457638                 4~1~483400                         
1457638    20230503EQ        INSTA214                 ACS190                       1.11           2      1149000000000001000000000000000699000000000000000699000000000000000349500000000000000349500000000000000125800000000000000000000000000000000069900000000000000000000000000000000004610000000000000021250000000000000349500000400457638                 4~1~483400                         
1457638    20230503EQ        INSTA214                 26316989            26316989 1.11           2      1149000000000001000000000000000433880000000000000433880000000000000216940000000000000216940000000000000111440000000000000000000000000000000043390000000000000000000000000000000000000000000000000000000000000000000216940000400457638                 4~1~483400                         
1457638    20230503EQ        INSTA214                 98551306            98551306 1.11           2      1149000000000001000000000000001207740000000000001207740000000000000603870000000000000603870000000000000240010000000000000000000000000000000120770000000000000000000000000000000007970000000000000036720000000000000603870000400457638                 4~1~483400                         
1468156    20220613AP        Técni34                  98550168X                    E2020          2      0954000000000001000000000000000210000000000000000210000000000000000002150000000000000207850000000000000094470000000000000000000000000000000000000000000000000000000000000000000003430000000000000015800000000000000207850000400468156                 4~1~484827                         
1468156    20220613AP        Técni34                  12616850            12616850 E2020          2      0954000000000001000000000000000035230000000000000035230000000000000000360000000000000034870000000000000007460000000000000000000000000000000006970000000000000000000000000000000000460000000000000002120000000000000034870000400468156                 4~1~484827                         
1468156    20220613AP        Técni34                  12706595            12706595 E2020          2      0954000000000001000000000000000125620000000000000125620000000000000001290000000000000124330000000000000037630000000000000000000000000000000024870000000000000000000000000000000000000000000000000000000000000000000124330000400468156                 4~1~484827                         
1468156    20220613AP        Técni34                  93316245            93316245 E2020          2      0954000000000001000000000000000102000000000000000102000000000000000001050000000000000100950000000000000018590000000000000000000000000000000020190000000000000000000000000000000000000000000000000000000000000000000100950000400468156                 4~1~484827                         
1474930    20221214EQ        INSTA126                 ESP01                        1.2            9      1629000000000001000000000000000127230000000000000127230000000000000000000000000000000127230000000000000127230000000000000000000000000000000025450000000000000000000000000000000001680000000000000007740000000000000127230000400474930                 4~1~483250                         
1474930    20221111EQ        INSTA126                 LA0472                       1.2            9      1337000000000001000000000000000023500000000000000023500000000000000000000000000000000023500000000000000023500000000000000000000000000000000004700000000000000000000000000000000000310000000000000001430000000000000023500000400474930                 4~1~483250                         
1474930    20221111EQ        INSTA126                 98553665            98553665 1.2            9      1337000000000001000000000000000028280000000000000028280000000000000000000000000000000028280000000000000028280000000000000000000000000000000005660000000000000000000000000000000000370000000000000001720000000000000028280000400474930                 4~1~483250                         
1474930    20230429EQ        INSTA126                 98553665            98553665 1.2            9      0939000000000001000000000000000028280000000000000028280000000000000000000000000000000028280000000000000028280000000000000000000000000000000005660000000000000000000000000000000000370000000000000001720000000000000028280000400474930                 4~1~483250                         
1475245    20221207EQ        INSTA214                 22829859            22829859 1.2            9      0935000000000001000000000000000021290000000000000021290000000000000000000000000000000021290000000000000021290000000000000000000000000000000004260000000000000000000000000000000000280000000000000001290000000000000021290000400475245                 4~1~483252                         
1475245    20221207EQ        INSTA214                 JBR177                       1.2            9      1151000000000001000000000000000044100000000000000044100000000000000000000000000000000044100000000000000044100000000000000000000000000000000008820000000000000000000000000000000000580000000000000002680000000000000044100000400475245                 4~1~483252                         
1475245    20221130EQ        INSTA252                 JBR177                       1.2            9      1255000000000001000000000000000044100000000000000044100000000000000000000000000000000044100000000000000044100000000000000000000000000000000008820000000000000000000000000000000000580000000000000002680000000000000044100000400475245                 4~1~483252                         
1475245    20221117EQ        INSTA252                 98551284            98551284 1.2            9      0945000000000001000000000000000264810000000000000264810000000000000000000000000000000264810000000000000264810000000000000000000000000000000052960000000000000000000000000000000000000000000000000000000000000000000264810000400475245                 4~1~483252                         
1475245    20221117EQ        INSTA252                 ACS12257                     1.2            9      0945000000000001000000000000000070010000000000000070010000000000000000000000000000000070010000000000000070010000000000000000000000000000000014000000000000000000000000000000000000920000000000000004260000000000000070010000400475245                 4~1~483252                         
1475245    20221117EQ        INSTA252                 12084                        1.2            9      1008000000000001000000000000000012910000000000000012910000000000000000000000000000000012910000000000000012910000000000000000000000000000000002580000000000000000000000000000000000170000000000000000790000000000000012910000400475245                 4~1~483252                         
1475245    20221117EQ        INSTA252                 DIV062                       1.2            9      1016000000000010000000000000000002120000000000000021190000000000000000000000000000000021190000000000000021190000000000000000000000000000000004240000000000000000000000000000000000000000000000000000000000000000000021190000400475245                 4~1~483252                         
1475245    20221130EQ        INSTA214                 JBR177                       1.2            9      1608000000000001000000000000000044100000000000000044100000000000000000000000000000000044100000000000000044100000000000000000000000000000000008820000000000000000000000000000000000580000000000000002680000000000000044100000400475245                 4~1~483252                         
1475245    20221212EQ        INSTA214                 DIV062                       1.2            9      0915000000000005000000000000000002120000000000000010590000000000000000000000000000000010590000000000000010590000000000000000000000000000000002120000000000000000000000000000000000000000000000000000000000000000000010590000400475245                 4~1~483252                         
