11923843   12     TR007          000000000000000400000000000000000400000000000000000000000000000000000000000000000000000400012~3~192384         
161551A    12     TR007          000000000000000400000000000000000400000000000000000000000000000000000020000000000000000400012~A~61551          
11923893   2      E0203          000000000000000800000000000000000800000000000000000000000000000000000000000000000000000800012~3~192389         
11923893   2      E2020          000000000000000400000000000000000400000000000000000000000000000000000000000000000000000400012~3~192389         
11923893   5      M0091          000000000000002800000000000000002800000000000000000000000000000000000000000000000000002800012~3~192389         
161552A    2      E0203          000000000000000800000000000000000800000000000000000000000000000000000040000000000000000800012~A~61552          
161552A    2      E2020          000000000000000400000000000000000400000000000000000000000000000000000020000000000000000400012~A~61552          
161552A    5      M0091          000000000000002800000000000000002800000000000000000000000000000000000140000000000000002800012~A~61552          
11923933   2      E0203          000000000000000800000000000000000800000000000000000000000000000000000000000000000000000800012~3~192393         
11923933   2      E2020          000000000000000400000000000000000400000000000000000000000000000000000000000000000000000400012~3~192393         
11923933   5      M0051          000000000000003100000000000000003100000000000000000000000000000000000000000000000000003100012~3~192393         
11923933   3      11             000000000000000800000000000000000800000000000000000000000000000000000000000000000000000800012~3~192393         
161553A    2      E0203          000000000000000800000000000000000800000000000000000000000000000000000040000000000000000800012~A~61553          
161553A    2      E2020          000000000000000400000000000000000400000000000000000000000000000000000020000000000000000400012~A~61553          
161553A    5      M0051          000000000000003100000000000000003100000000000000000000000000000000000155000000000000003100012~A~61553          
161553A    3      11             000000000000000800000000000000000800000000000000000000000000000000000040000000000000000800012~A~61553          
11923963   2      E0203          000000000000000800000000000000000800000000000000000000000000000000000000000000000000000800012~3~192396         
11923963   2      E2020          000000000000000400000000000000000400000000000000000000000000000000000000000000000000000400012~3~192396         
11923963   5      M0051          000000000000003100000000000000003100000000000000000000000000000000000000000000000000003100012~3~192396         
11923963   3      11             000000000000000800000000000000000800000000000000000000000000000000000000000000000000000800012~3~192396         
161554A    2      E0203          000000000000000800000000000000000800000000000000000000000000000000000040000000000000000800012~A~61554          
161554A    2      E2020          000000000000000400000000000000000400000000000000000000000000000000000020000000000000000400012~A~61554          
161554A    5      M0051          000000000000003100000000000000003100000000000000000000000000000000000155000000000000003100012~A~61554          
161554A    3      11             000000000000000800000000000000000800000000000000000000000000000000000040000000000000000800012~A~61554          
11924033   2      E0203          000000000000000600000000000000000600000000000000000000000000000000000000000000000000000600012~3~192403         
11924033   2      E2020          000000000000000400000000000000000400000000000000000000000000000000000000000000000000000400012~3~192403         
11924033   2      03             000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012~3~192403         
11924033   3      11             000000000000000600000000000000000600000000000000000000000000000000000000000000000000000600012~3~192403         
161555A    2      E0203          000000000000000600000000000000000600000000000000000000000000000000000030000000000000000600012~A~61555          
161555A    2      E2020          000000000000000400000000000000000400000000000000000000000000000000000020000000000000000400012~A~61555          
161555A    2      03             000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012~A~61555          
161555A    3      11             000000000000000600000000000000000600000000000000000000000000000000000030000000000000000600012~A~61555          
11924083   2      E0203          000000000000000600000000000000000600000000000000000000000000000000000000000000000000000600012~3~192408         
11924083   2      E2020          000000000000000400000000000000000400000000000000000000000000000000000000000000000000000400012~3~192408         
11924083   2      J0675          000000000000000803400000000000000803400000000000000000000000000000000000000000000000000803412~3~192408         
11924083   5      M0091          000000000000002901600000000000002901600000000000000000000000000000000000000000000000002901612~3~192408         
11924083   3      11             000000000000000600000000000000000600000000000000000000000000000000000000000000000000000600012~3~192408         
161558A    2      E0203          000000000000000600000000000000000600000000000000000000000000000000000030000000000000000600012~A~61558          
161558A    2      E2020          000000000000000400000000000000000400000000000000000000000000000000000020000000000000000400012~A~61558          
161558A    2      J0675          000000000000000803400000000000000803400000000000000000000000000000000040200000000000000803412~A~61558          
161558A    5      M0091          000000000000002901600000000000002901600000000000000000000000000000000145100000000000002901612~A~61558          
161558A    3      11             000000000000000600000000000000000600000000000000000000000000000000000030000000000000000600012~A~61558          
11924163   5      M0091          000000000000002884000000000000002884000000000000000000000000000000000000000000000000002884012~3~192416         
161559A    5      M0091          000000000000002884000000000000002884000000000000000000000000000000000144200000000000002884012~A~61559          
11924173   2      03             000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012~3~192417         
11924213   2      E0203          000000000000000800000000000000000800000000000000000000000000000000000000000000000000000800012~3~192421         
11924213   2      E2020          000000000000000400000000000000000400000000000000000000000000000000000000000000000000000400012~3~192421         
11924213   5      M0051          000000000000002980000000000000002980000000000000000000000000000000000000000000000000002980012~3~192421         
11924213   3      11             000000000000000600000000000000000600000000000000000000000000000000000000000000000000000600012~3~192421         
161560A    2      E0203          000000000000000800000000000000000800000000000000000000000000000000000040000000000000000800012~A~61560          
161560A    2      E2020          000000000000000400000000000000000400000000000000000000000000000000000020000000000000000400012~A~61560          
161560A    5      M0051          000000000000002980000000000000002980000000000000000000000000000000000149000000000000002980012~A~61560          
161560A    3      11             000000000000000600000000000000000600000000000000000000000000000000000030000000000000000600012~A~61560          
