1193719    20230531412077880001991    20147     23630     9BGKS69V0HG16006612 074DIRETORIAD          9   0000002767193719                                  1000000000000004925555000000000004800000000000000000000000000000000004800000000000000000000000000000000000048038000000000000000000
1193244    20230522000056259144351    20147     44056     9BGKL69U0KG29307712 074DIRETORIAD          9   0000001404193244                                  1000000000000004670820000000000004600000000000000000000000000000000004600000000000000000000000000000000000046037000000000000000000
1          20230508000082037144041    20147     23892     9BG148PK0MC40666412 074AOLEGARIO           99990000000000                                        0000000000000020665000000000000023500000000000000000000000000000000023500000000000000000000000000000000000000000000000000000000000
1193575    20230529000024084234061    20        44639     9BG148MK0PC42858012 074KGUEDES             4   0000002704193575                                  0000000000000029661831000000000029605000000000000000000000000000000029800000000000000000000000000000000000000000000000000000000000
11400225   20230505207231120001881    20        44638     9BG148PK0PC44139212 074JLGOMES             999900000000001400225                                 0100000000000025805867000000000000000000000000000000000000000000000027785424000000000000000000000000000000000000000000000000000000
11399536   20230503396618020001881    20        44639     9BG148MK0PC44596112 074JLGOMES             999900000000001399536                                 0100000000000023945609000000000000000000000000000000000000000000000024953273000000000000000000000000000000000000000000000000000000
11404722   20230522195330150001431    20        45217     9BG148MK0RC40329212 074JLGOMES             999900000000001404722                                 0100000000000024525317000000000000000000000000000000000000000000000025784544000000000000000000000000000000000000000000000000000000
1193227    20230522000691826804001    20        44639     9BG148MK0PC43771712 074WALLESKS46          4   0000002704193227                                  0000000000000027833809000000000027410000000000000000000000000000000027500000000000000000000000000000000000000000000000000000000000
12590360   20230502000298870384151    20070     45190     9BGEB76H0RB10274512 074JLGOMES             999900000000002590360                                 0100000000000009372245000000000000000000000000000000000000000000000009837100000000000000000000000000000000000000000000000000000000
1193690    20230531000047598724181    20070     44626     9BGEP76B0PB24522212 074JFERNANDES          4   0000002704193690                                  0000000000000016731466000000000015654000000000000000000000000000000016300000000000000000000000000000000000000000000000000000000000
1192881    20230512000181499874871    20070     45122     8AGEP76B0PR13574712 074KGUEDES             4   0000001430192881                                  0000000000000016392493000000000015854000000000000000000000000000000016274000000000000000000000000000000000000000000000000000000000
1192598    20230505000055823274441    20070     44626     9BGEP76B0PB21944712 074AAGUIAR             4   0000001412192598                                  0000000000000015713267000000000014780000000000000000000000000000000015200000000000000000000000000000000000000000000000000000000000
1193723    20230531000700674014221    20070     44632     9BGEX76H0PB22956312 074KGUEDES             4   0000001430193723                                  0000000000000012322690000000000011704000000000000000000000000000000011999000000000000000000000000000000000000000000000000000000000
