11981533   2      4412470        00000000000001807120000000000001807120000000000000108430000000000000000000000000000001807122~3~198153          
1144976NF  2      4412470        00000000000001807120000000000001807120000000000000108430000000000000090360000000000001807122~NF~144976         
11981543   2      4412470        00000000000001807120000000000001807120000000000000108430000000000000000000000000000001807122~3~198154          
1144977NF  2      4412470        00000000000001807120000000000001807120000000000000108430000000000000090360000000000001807122~NF~144977         
11981553   2      4066970        00000000000001156700000000000001156700000000000000000000000000000000000000000000000001156702~3~198155          
1144978NF  2      4066970        00000000000001156700000000000001156700000000000000000000000000000000057840000000000001156702~NF~144978         
11981563   4      MP             00000000000002540050000000000002540050000000000000006100000000000000000000000000000002540052~3~198156          
11981563   4      1              00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002~3~198156          
11981563   2      1441164        00000000000000474370000000000000474370000000000000000000000000000000000000000000000000474372~3~198156          
11981563   2      1441364        00000000000000271070000000000000271070000000000000000000000000000000000000000000000000271072~3~198156          
11981563   2      1441564        00000000000000564720000000000000564720000000000000000000000000000000000000000000000000564722~3~198156          
11981563   2      1442964        00000000000000451780000000000000451780000000000000000000000000000000000000000000000000451782~3~198156          
11981563   2      1443164        00000000000000225890000000000000225890000000000000000000000000000000000000000000000000225892~3~198156          
11981563   2      1443544        00000000000000451780000000000000451780000000000000000000000000000000000000000000000000451782~3~198156          
11981563   2      1443844        00000000000000384010000000000000384010000000000000000000000000000000000000000000000000384012~3~198156          
11981563   2      1446674        00000000000003094690000000000003094690000000000000000000000000000000000000000000000003094692~3~198156          
11981563   2      2020380        00000000000000519550000000000000519550000000000000046760000000000000000000000000000000519552~3~198156          
1144979NF  4      MP             00000000000002540050000000000002540050000000000000006100000000000000127000000000000002540052~NF~144979         
1144979NF  4      1              00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002~NF~144979         
1144979NF  2      1441164        00000000000000474370000000000000474370000000000000000000000000000000023720000000000000474372~NF~144979         
1144979NF  2      1441364        00000000000000271070000000000000271070000000000000000000000000000000013550000000000000271072~NF~144979         
1144979NF  2      1441564        00000000000000564720000000000000564720000000000000000000000000000000028240000000000000564722~NF~144979         
1144979NF  2      1442964        00000000000000451780000000000000451780000000000000000000000000000000022590000000000000451782~NF~144979         
1144979NF  2      1443164        00000000000000225890000000000000225890000000000000000000000000000000011290000000000000225892~NF~144979         
1144979NF  2      1443544        00000000000000451780000000000000451780000000000000000000000000000000022590000000000000451782~NF~144979         
1144979NF  2      1443844        00000000000000384010000000000000384010000000000000000000000000000000019200000000000000384012~NF~144979         
1144979NF  2      1446674        00000000000003094690000000000003094690000000000000000000000000000000154730000000000003094692~NF~144979         
1144979NF  2      2020380        00000000000000519550000000000000519550000000000000046760000000000000025980000000000000519552~NF~144979         
1144980NF  5      7441760        00000000000000293660000000000000293660000000000000017620000000000000014680000000000000293662~NF~144980         
11981573   5      7441760        00000000000000293660000000000000293660000000000000017620000000000000000000000000000000293662~3~198157          
11981583   2      4412470        00000000000001807120000000000001807120000000000000108430000000000000000000000000000001807122~3~198158          
1144981NF  2      4412470        00000000000001807120000000000001807120000000000000108430000000000000090360000000000001807122~NF~144981         
11981593   5      M0041          00000000000000000000000000000000000000000000000000030670000000000000000000000000000000000002~3~198159          
11981603   5      M0041          00000000000000000000000000000000000000000000000000030670000000000000000000000000000000000002~3~198160          
11981633   2      E0203          00000000000000080000000000000000080000000000000000000000000000000000000000000000000000080002~3~198163          
11981633   2      E2020          00000000000000080000000000000000080000000000000000000000000000000000000000000000000000080002~3~198163          
11981633   5      M0061          00000000000000349700000000000000349700000000000000000000000000000000000000000000000000349702~3~198163          
11981633   2      SER10          00000000000000150000000000000000150000000000000000000000000000000000000000000000000000150002~3~198163          
1144982NF  2      E0203          00000000000000080000000000000000080000000000000000000000000000000000004000000000000000080002~NF~144982         
1144982NF  2      E2020          00000000000000080000000000000000080000000000000000000000000000000000004000000000000000080002~NF~144982         
1144982NF  5      M0061          00000000000000349700000000000000349700000000000000000000000000000000017480000000000000349702~NF~144982         
1144982NF  2      SER10          00000000000000150000000000000000150000000000000000000000000000000000007500000000000000150002~NF~144982         
1144983NF  5      M0041          00000000000000290810000000000000290810000000000000013550000000000000014540000000000000290812~NF~144983         
11981673   2      E0203          00000000000000100000000000000000100000000000000000016140000000000000000000000000000000100002~3~198167          
11981673   2      E2020          00000000000000100000000000000000100000000000000000016140000000000000000000000000000000100002~3~198167          
11981673   5      M0091          00000000000000683260000000000000683260000000000000041000000000000000000000000000000000683262~3~198167          
1144984NF  2      E0203          00000000000000100000000000000000100000000000000000016140000000000000005000000000000000100002~NF~144984         
1144984NF  2      E2020          00000000000000100000000000000000100000000000000000016140000000000000005000000000000000100002~NF~144984         
1144984NF  5      M0091          00000000000000683260000000000000683260000000000000041000000000000000034160000000000000683262~NF~144984         
11981683   1      C9999          00000000000000483150000000000000483150000000000000000000000000000000000000000000000000483152~3~198168          
11981683   1      D000           00000000000000100000000000000000100000000000000000000000000000000000000000000000000000100002~3~198168          
11981683   4      P8888          00000000000000650000000000000000650000000000000000000000000000000000000000000000000000650002~3~198168          
1144985NF  1      C9999          00000000000000483150000000000000483150000000000000000000000000000000024160000000000000483152~NF~144985         
1144985NF  1      D000           00000000000000100000000000000000100000000000000000000000000000000000005000000000000000100002~NF~144985         
1144985NF  4      P8888          00000000000000650000000000000000650000000000000000000000000000000000032500000000000000650002~NF~144985         
11981693   5      M0041          00000000000000000000000000000000000000000000000000030670000000000000000000000000000000000002~3~198169          
11981703   5      M0111          00000000000000403500000000000000403500000000000000000000000000000000000000000000000000403502~3~198170          
11981703   2      8481018*       00000000000000632150000000000000632150000000000000000000000000000000000000000000000000632152~3~198170          
1144986NF  5      M0111          00000000000000403500000000000000403500000000000000000000000000000000020180000000000000403502~NF~144986         
1144986NF  2      8481018*       00000000000000632150000000000000632150000000000000000000000000000000031610000000000000632152~NF~144986         
11981723   1      M000           00000000000000330000000000000000330000000000000000045000000000000000000000000000000000330002~3~198172          
11981723   4      P8888          00000000000000520000000000000000520000000000000000000000000000000000000000000000000000520002~3~198172          
1144987NF  1      M000           00000000000000330000000000000000330000000000000000045000000000000000016500000000000000330002~NF~144987         
1144987NF  4      P8888          00000000000000520000000000000000520000000000000000000000000000000000026000000000000000520002~NF~144987         
11981763   5      M0051          00000000000000438200000000000000438200000000000000022600000000000000000000000000000000438202~3~198176          
1144988NF  5      M0051          00000000000000438200000000000000438200000000000000022600000000000000021910000000000000438202~NF~144988         
11981773   12     TR006          00000000000000199000000000000000199000000000000000003230000000000000000000000000000000199002~3~198177          
1144989NF  12     TR006          00000000000000199000000000000000199000000000000000003230000000000000009950000000000000199002~NF~144989         
11981793   5      M0111          00000000000000403500000000000000403500000000000000000000000000000000000000000000000000403502~3~198179          
11981793   2      8481018*       00000000000000632150000000000000632150000000000000000000000000000000000000000000000000632152~3~198179          
1144990NF  5      M0111          00000000000000403500000000000000403500000000000000000000000000000000020180000000000000403502~NF~144990         
1144990NF  2      8481018*       00000000000000632150000000000000632150000000000000000000000000000000031610000000000000632152~NF~144990         
11981803   2      E0203          00000000000000080000000000000000080000000000000000016140000000000000000000000000000000080002~3~198180          
11981803   2      E2020          00000000000000080000000000000000080000000000000000016140000000000000000000000000000000080002~3~198180          
11981803   5      M0051          00000000000000500000000000000000500000000000000000022600000000000000000000000000000000500002~3~198180          
1144991NF  2      E0203          00000000000000080000000000000000080000000000000000016140000000000000004000000000000000080002~NF~144991         
1144991NF  2      E2020          00000000000000080000000000000000080000000000000000016140000000000000004000000000000000080002~NF~144991         
1144991NF  5      M0051          00000000000000500000000000000000500000000000000000022600000000000000025000000000000000500002~NF~144991         
11981823   12     TR001          00000000000000060000000000000000060000000000000000000940000000000000000000000000000000060002~3~198182          
1144992NF  12     TR001          00000000000000060000000000000000060000000000000000000940000000000000003000000000000000060002~NF~144992         
