11388      2023013120230131AP        MECAN374                 2      ML             07560000075800000VEICULO BAIXANDO O NIVEL DE AGUA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0000000000000000500000000000000000000000000000000000500000000000002402980000000000002402980000000000000000000000000000000120150000000000002402980004100001388                 41~NF~2267               V2        
11388      2022120520230518                                   2      ST             08500000140100000VEICULO BAIXANDO O NIVEL DE AGUA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0000000000000001000000000000000000000000000000000001000000000000000450000000000000000450000000000000000450000000000000000022500000000000000450000004100001388                 41~NF~2267               V2        
11388      2023013120230131AP        MECAN374                 2      4067490        07430000075600000VEICULO BAIXANDO O NIVEL DE AGUA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    0000000000000008700000000000000000010000000000000008690000000000001117240000000000001117240000000000000000000000000000000055860000000000001117240004100001388                 41~NF~2267               V2        
11459      2022121020221212AP        MECAN373                 5      M0041          10330000083800000REVISÃO AOS 10.000 KM OU 1 ANO.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     0000000000000001000000000000000001920000000000000000920000000000000274520000000000000274520000000000000000000000000000000013730000000000000274520004100001459                 41~NF~2155               V3        
12239      2023020920230209                                   9      ACC            09290000095700000ACC - TROCO - TAPETES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004100002239                                          D9        
12656      2023031720230522                                   9      ACC            10160000170400000ACC - SHOWROOM (PONTEIRA SIMPLES, TAPETE MALA, TAPETE, FRISOS E SOLEIRAS)                                                                                                                                                                                                                                                                                                                                                                                                                                           0000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004100002656                                          V9        
12698      2023032120230321AP        MECAN373                 2      9106195        15240000160500000PARA-SOL IT -007-22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000300000000000000000030000000000000000270000000000000036440000000000000036440000000000000000000000000000000000000000000000000036440004100002698                 41~NF~2150               V2        
12789      2023032920230329AP        MECAN373                 2      8443240        15190000152100000EXAMINAR VAZAMENTO NA REGIÃO DA TRANSMISSÃO                                                                                                                                                                                                                                                                                                                                                                                                                                                                         0000000000000003100000000000000000000000000000000003100000000000000376460000000000000376460000000000000000000000000000000000000000000000000376460004100002789                 41~NF~2281               V2        
12797      2023033020230531                                   2      03             09320000140600000REVISAO DOS 50.OOOKM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                0000000000000000500000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004100002797                                          V1        
12914      2023050820230508AP        MECAN372                 2      ML             08030000080400000EXAMINAR ANOMALIA NO RÁDIO DO VEÍCULO                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000500000000000000000000000000000000000500000000000000374980000000000000374980000000000000000000000000000000018750000000000000374980004100002914                 41~NF~2259               V2        
12914      2023050820230508AP        MECAN372                 2      3420840        08020000080300000EXAMINAR ANOMALIA NO RÁDIO DO VEÍCULO                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000200000000000000000000000000000000000200000000000000024290000000000000024290000000000000000000000000000000001210000000000000024290004100002914                 41~NF~2259               V2        
12992      2023042020230420AP        MECAN372                 2      2410370        15160000151700000VEICULO SEM FREAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   0000000000000001000000000000000000000000000000000001000000000000000210000000000000000188960000000000000000000000000000000009450000000000000188960004100002992                 41~NF~2142               V1        
12992      2023042020230420AP        MECAN372                 2      2440100        15160000151700000VEICULO SEM FREAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   0000000000000000900000000000000000000000000000000000900000000000000189000000000000000170060000000000000000000000000000000008500000000000000170060004100002992                 41~NF~2142               V1        
12992      2023042020230420AP        MECAN372                 2      4410600        15160000151700000VEICULO SEM FREAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   0000000000000001000000000000000000000000000000000001000000000000000090000000000000000080980000000000000000000000000000000004050000000000000080980004100002992                 41~NF~2142               V1        
