11388      20230130AP        MECAN374                 55497312            55497312 4067490        2      1410000000000001000000000000000170000000000000000170000000000000000000000000000000000170000000000000000141700000000000000000000000000000000000000000000000000000000000000000000002220000000000000010240000000000000170000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 55487413            55487413 4067490        2      1410000000000008000000000000000006000000000000000048000000000000000000000000000000000048000000000000000032720000000000000000000000000000000000000000000000000000000000000000000000660000000000000003050000000000000048000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 55498703            55498703 4067490        2      1410000000000001000000000000000500000000000000000500000000000000000000000000000000000500000000000000000379960000000000000000000000000000000000000000000000000000000000000000000006650000000000000030640000000000000500000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 25203697            25203697 4067490        2      1410000000000001000000000000000150000000000000000150000000000000000000000000000000000150000000000000000113390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 55486826            55486826 4067490        2      1410000000000001000000000000000080000000000000000080000000000000000000000000000000000080000000000000000045680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 55509157            55509157 4067490        2      1410000000000001000000000000000085000000000000000085000000000000000000000000000000000085000000000000000067780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000085000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 55514589            55514589 4067490        2      1410000000000001000000000000000170000000000000000170000000000000000000000000000000000170000000000000000124230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000170000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 12706595            12706595 4067490        2      1410000000000001000000000000000070000000000000000070000000000000000000000000000000000070000000000000000058420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 98550811            98550811 4067490        2      1410000000000004000000000000000063000000000000000252000000000000000000000000000000000252000000000000000128850000000000000000000000000000000000000000000000000000000000000000000003500000000000000016120000000000000252000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 93286309            93286309 4067490        2      1410000000000003000000000000000070000000000000000210000000000000000000000000000000000210000000000000000169470000000000000000000000000000000000000000000000000000000000000000000003470000000000000015960000000000000210000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 98552043            98552043 4067490        2      1410000000000003000000000000000065000000000000000195000000000000000000000000000000000195000000000000000122480000000000000000000000000000000000000000000000000000000000000000000003220000000000000014820000000000000195000004100001388                 41~3~4018                          
11388      20230130AP        MECAN374                 98550134            98550134 4067490        2      1410000000000002000000000000000088000000000000000176000000000000000000000000000000000176000000000000000120640000000000000000000000000000000000000000000000000000000000000000000002900000000000000013380000000000000176000004100001388                 41~3~4018                          
12239      20230209               0                   26307582            26307582 ACC            9      0933000000000001000000000000000139620000000000000139620000000000000006000000000000000133620000000000000139620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133620004100002239                 41~3~4212                          
12656      20230518               0                   26233868            26233868 ACC            9      1654000000000001000000000000000424490000000000000424490000000000000015890000000000000408600000000000000206450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000408600004100002656                 41~3~4068                          
12656      20230518               0                   26307581            26307581 ACC            9      1654000000000001000000000000000269390000000000000269390000000000000010080000000000000259310000000000000138460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000259310004100002656                 41~3~4068                          
12656      20230518               0                   98551297            98551297 ACC            9      1654000000000001000000000000000577390000000000000577390000000000000021610000000000000555780000000000000309690000000000000000000000000000000000000000000000000000000000000000000009170000000000000042240000000000000555780004100002656                 41~3~4068                          
12656      20230518               0                   98551347            98551347 ACC            9      1654000000000001000000000000000183160000000000000183160000000000000006850000000000000176310000000000000110170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176310004100002656                 41~3~4068                          
12698      20230321AP        MECAN373                 13488275            13488275 9106195        2      1525000000000002000000000000000004190000000000000008380000000000000000000000000000000008380000000000000006430000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008380004100002698                 41~3~3780                          
12789      20230329AP        MECAN373                 24584644            24584644 8443240        2      1520000000000001000000000000000011420000000000000011420000000000000000000000000000000011420000000000000005690000000000000000000000000000000000000000000000000000000000000000000000190000000000000000870000000000000011420004100002789                 41~3~4057                          
