11981533   26401106            26401106 00000000010000000000000730610000000000000730610000000000000000000000000000000730610000000000000455850000000000000000000000000000000146120000000000000000000000000000000009640000000000000044420000000000000730612~3~198153          
11981543   26400758            26400758 00000000010000000000000511660000000000000511660000000000000000000000000000000511660000000000000326010000000000000000000000000000000102330000000000000000000000000000000006750000000000000031110000000000000511662~3~198154          
11981553   94711380            94711380 00000000010000000000004835140000000000004835140000000000000000000000000000004835140000000000002856620000000000000000000000000000000967030000000000000000000000000000000000000000000000000000000000000000004835142~3~198155          
11981563   52066712            52066712 00000000010000000000001066110000000000001066110000000000000000000000000000001066110000000000000673120000000000000000000000000000000213220000000000000000000000000000000012060000000000000055540000000000001066112~3~198156          
11981563   93291111            93291111 00000000010000000000000284290000000000000284290000000000000000000000000000000284290000000000000153370000000000000000000000000000000056860000000000000000000000000000000003220000000000000014810000000000000284292~3~198156          
11981563   52054243            52054243 00000000010000000000000032800000000000000032800000000000000000000000000000000032800000000000000020350000000000000000000000000000000006560000000000000000000000000000000000370000000000000001710000000000000032802~3~198156          
11981563   52054243            52054243 00000000010000000000000032800000000000000032800000000000000000000000000000000032800000000000000020350000000000000000000000000000000006560000000000000000000000000000000000370000000000000001710000000000000032802~3~198156          
11981563   94763686            94763686 00000000010000000000000038190000000000000038190000000000000000000000000000000038190000000000000024090000000000000000000000000000000007640000000000000000000000000000000000430000000000000001990000000000000038192~3~198156          
11981563   52154567            52154567 00000000010000000000000068470000000000000068470000000000000000000000000000000068470000000000000039770000000000000000000000000000000013690000000000000000000000000000000000770000000000000003570000000000000068472~3~198156          
11981573   26403937            26403937 00000000010000000000002567550000000000002567550000000000000000000000000000002567550000000000001708190000000000000000000000000000000513510000000000000000000000000000000000000000000000000000000000000000002567552~3~198157          
11981583   26400758            26400758 00000000010000000000000511660000000000000511660000000000000000000000000000000511660000000000000326010000000000000000000000000000000102330000000000000000000000000000000006750000000000000031110000000000000511662~3~198158          
11981593   12616850            12616850 00000000010000000000000023690000000000000023690000000000000000000000000000000023690000000000000007450000000000000000000000000000000004740000000000000000000000000000000000290000000000000001350000000000000023692~3~198159          
11981593   12706595            12706595 00000000010000000000000125620000000000000125620000000000000000000000000000000125620000000000000035690000000000000000000000000000000025120000000000000000000000000000000000000000000000000000000000000000000125622~3~198159          
11981593   98550168X           98550168X00000000010000000000000299000000000000000299000000000000000000000000000000000299000000000000000094330000000000000000000000000000000000000000000000000000000000000000000004620000000000000021290000000000000299002~3~198159          
11981603   12616850            12616850 00000000010000000000000023690000000000000023690000000000000000000000000000000023690000000000000007450000000000000000000000000000000004740000000000000000000000000000000000310000000000000001440000000000000023692~3~198160          
11981603   12706595            12706595 00000000010000000000000114110000000000000114110000000000000000000000000000000114110000000000000035690000000000000000000000000000000022820000000000000000000000000000000000000000000000000000000000000000000114112~3~198160          
11981603   98550168X           98550168X00000000010000000000000299000000000000000299000000000000000000000000000000000299000000000000000094330000000000000000000000000000000000000000000000000000000000000000000004930000000000000022720000000000000299002~3~198160          
11981633   12616850            12616850 00000000010000000000000023690000000000000023690000000000000000000000000000000023690000000000000007450000000000000000000000000000000004740000000000000000000000000000000000290000000000000001360000000000000023692~3~198163          
11981633   12706595            12706595 00000000010000000000000070140000000000000070140000000000000000000000000000000070140000000000000035690000000000000000000000000000000014030000000000000000000000000000000000000000000000000000000000000000000070142~3~198163          
11981633   1350137             1350137  00000000010000000000000130240000000000000130240000000000000000000000000000000130240000000000000103950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130242~3~198163          
11981633   26355515            26355515 00000000010000000000000500000000000000000500000000000000000000000000000000000500000000000000000145510000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000500002~3~198163          
11981633   93316245            93316245 00000000010000000000000055410000000000000055410000000000000000000000000000000055410000000000000018440000000000000000000000000000000011080000000000000000000000000000000000000000000000000000000000000000000055412~3~198163          
11981633   LA0472              LA0472   00000000010000000000000025910000000000000025910000000000000000000000000000000025910000000000000023470000000000000000000000000000000005180000000000000000000000000000000000320000000000000001480000000000000025912~3~198163          
11981633   98550168            98550168 00000000040000000000000065630000000000000262520000000000000000000000000000000262520000000000000100830000000000000000000000000000000000000000000000000000000000000000000003660000000000000016850000000000000262522~3~198163          
11981673   12616850            12616850 00000000010000000000000015400000000000000015400000000000000000000000000000000015400000000000000007450000000000000000000000000000000003080000000000000000000000000000000000130000000000000000620000000000000015402~3~198167          
11981673   12636838            12636838 00000000010000000000000130610000000000000130610000000000000000000000000000000130610000000000000049310000000000000000000000000000000026120000000000000000000000000000000001140000000000000005240000000000000130612~3~198167          
11981673   1300525             1300525  00000000010000000000000164660000000000000164660000000000000000000000000000000164660000000000000062670000000000000000000000000000000032930000000000000000000000000000000001430000000000000006610000000000000164662~3~198167          
11981673   52100212            52100212 00000000010000000000000453750000000000000453750000000000000000000000000000000453750000000000000171480000000000000000000000000000000090750000000000000000000000000000000003950000000000000018210000000000000453752~3~198167          
11981673   52101541            52101541 00000000010000000000000079950000000000000079950000000000000000000000000000000079950000000000000026480000000000000000000000000000000015990000000000000000000000000000000000700000000000000003210000000000000079952~3~198167          
11981673   52160963            52160963 00000000010000000000000260170000000000000260170000000000000000000000000000000260170000000000000079550000000000000000000000000000000052030000000000000000000000000000000002270000000000000010440000000000000260172~3~198167          
11981673   98551028            98551028 00000000020000000000000021320000000000000042640000000000000000000000000000000042640000000000000029890000000000000000000000000000000008530000000000000000000000000000000000370000000000000001710000000000000042642~3~198167          
11981673   98552923            98552923 00000000060000000000000095000000000000000570000000000000000000000000000000000570000000000000000241390000000000000000000000000000000000000000000000000000000000000000000006210000000000000028590000000000000570002~3~198167          
11981673   98550368            98550368 00000000020000000000001715560000000000003431120000000000000000000000000000003431120000000000001901740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003431122~3~198167          
11981683   52170723            52170723 00000000010000000000002039670000000000002039670000000000000000000000000000002039670000000000000460260000000000000000000000000000000407930000000000000000000000000000000000000000000000000000000000000000002039672~3~198168          
11981693   12616850            12616850 00000000010000000000000023690000000000000023690000000000000000000000000000000023690000000000000007450000000000000000000000000000000004740000000000000000000000000000000000250000000000000001150000000000000023692~3~198169          
11981693   12706595            12706595 00000000010000000000000114110000000000000114110000000000000000000000000000000114110000000000000035690000000000000000000000000000000022820000000000000000000000000000000000000000000000000000000000000000000114112~3~198169          
11981693   1300525             1300525  00000000010000000000000164660000000000000164660000000000000000000000000000000164660000000000000062670000000000000000000000000000000032930000000000000000000000000000000001730000000000000007990000000000000164662~3~198169          
11981693   98550168X           98550168X00000000010000000000000299000000000000000299000000000000000000000000000000000299000000000000000094330000000000000000000000000000000000000000000000000000000000000000000003940000000000000018130000000000000299002~3~198169          
11981703   1300525             1300525  00000000010000000000000168290000000000000168290000000000000000000000000000000168290000000000000062670000000000000000000000000000000033660000000000000000000000000000000002150000000000000009910000000000000168292~3~198170          
11981703   1350005             1350005  00000000010000000000000210140000000000000210140000000000000000000000000000000210140000000000000065090000000000000000000000000000000042030000000000000000000000000000000002690000000000000012370000000000000210142~3~198170          
11981703   1350137             1350137  00000000010000000000000169000000000000000169000000000000000000000000000000000169000000000000000103950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000169002~3~198170          
