120             Distribuidor Lead                                 1
116             CRM ATIVO                                         0
11              JORNAL                                            0
12              TELEVISÃO                                         0
13              Amigos                                            0
14              RÁDIO                                             0
15              OUTDOOR                                           0
17              CHECK UP DE FÉRIAS                                0
18              OPV WEB                                           0
19              3 - MIDIA DESATIVADA                              0
110             4 - MIDIA DESATIVADA                              0
111             Indicação                                         0
112             3 - MIDIA DESATIVADA                              0
113             PROSPECÇÃO                                        0
114             Feirão                                            0
115             Já é cliente                                      0
117             PRESENCIAL                                        1
119             CRM RECEPTIVO                                     0
11000           WhatsApp                                          1
