1110            Atualização de KM                                 1
1108            Remarcação                                        1
1109            FL-Agendou Cliente                                1
11              Verificar                                         1
13              Encaminhou                                        1
14              Observacao                                        1
15              Obs.Gerente                                       1
16              Obs.Vendedor                                      1
19              Sucesso                                           1
110             Enviou para Resgate                               1
111             Perdeu Evento                                     1
112             Agendou Visita                                    1
113             Remarcou Evento                                   1
114             Reabriu  Evento                                   1
115             Agendamento                                       1
116             Finalizacao                                       1
1100            Esperando Retorno                                 1
117             Programacao                                       1
118             Aprovacao                                         1
1101            FL-Abriu Evento                                   1
1102            FL-Venda pendente                                 1
1103            FL-Programar                                      1
1104            FL-MKT encerrou                                   1
1105            FL-Cliente Desistiu                               1
1106            FL-Cliente em Duvida                              1
1107            FL-Venda aprovada                                 1
1200            Evento Atualizado                                 1
120             Alterou Termometro                                1
1120            Enviou Email                                      1
1500            Recepção                                          1
1501            Qualificação                                      1
1502            Test-Drive                                        1
1503            Negociacao                                        1
1504            Pedido                                            1
1505            Faturamento                                       1
1506            Entrega                                           1
1507            Follow-Up                                         1
1132            Emitiu Proposta                                   1
1130            Terminou Test-Drive                               1
1508            Mesa de FI                                        1
1509            Retorno de LEAD                                   1
1610            Enviou e-mail                                     1
1611            Insucesso no contato                              1
1612            Retirou da Mesa                                   1
1613            Alterou data Entrega                              1
1690            Criou Evento                                      1
1691            Voltou do Resgate                                 1
1692            Aprovou orçamento                                 1
1695            Desaprovou orçamento                              1
1600            MESA-Captou Ficha                                 1
1601            MESA-Fez leilao                                   1
1602            Fin. Qualificou                                   1
1603            Fin. Aprovou                                      1
1604            Fin. Recusou                                      1
1606            MESA-Re-analise                                   1
1607            MESA-Aprovou                                      1
1608            MESA-Cancelou ficha                               1
1609            MESA-Cancelou Leilao                              1
1122            Alterou Cliente                                   1
1121            Enviou SMS                                        1
1201            Pedido Trocado                                    1
