1A6   ACESSORIOS(FUNILARIA)                             0     
1D1   DEPT VEIC. NOVOS                                  0     
1D2   DEPT VEIC. USADOS                                 0     
1D3   DEPT PECAS                                        0     
1D4   OUTROS DEPARTAMENTOS                              0     
1D6   VEICULOS NOVOS(FUNILARIA)                         0     
1D9   ACESSORIOS PARA VENDAS                            0     
1RE   REVISAO DE ENTREGA                                0     
1S6   SEMI-NOVOS (FUNILARIA)                            0     
1V1   CLIENTE                                           0     
1V2   GARANTIA                                          0     
1V3   OUTRAS CONCESSIONARIAS                            0     
1V6   FUNILARIA E PINTURA                               0     
1V9   ACESSORIOS                                        0     
1VF   SERVICO DE FUNILARIA E PINTURA                    0     
