116             FL-Cliente Agendado - Retorno                     1
11              Indefinido                                        1
12              Pendente                                          1
13              Encaminhou                                        1
14              Suspenso                                          1
16              Esperando retorno                                 1
17              Esperando Aprovacao                               1
18              Esperando def. do Cliente                         1
1100            TMK-Agendou Cliente                               1
1101            TMK-Excluiu Agenda                                1
1102            TEC-Cliente não localizado                        1
1103            nao usar                                          0
1104            TEC-Cliente Adiou Agenda                          1
1105            TEC-Agendou Cliente                               1
1106            TEC-Excluiu Agenda                                1
1107            TEC-Encerrou CHIP                                 1
1108            TEC-Abriu OS                                      1
1109            TEC-Abriu Orçamento                               1
1110            nao usar                                          0
1111            nao usar                                          0
1112            nao usar                                          0
1113            nao usar                                          0
1114            nao usar                                          0
1115            nao usar                                          0
1116            nao usar                                          0
1117            nao usar                                          0
1118            nao usar                                          0
1119            nao usar                                          0
1120            nao usar                                          0
1121            nao usar                                          0
1122            nao usar                                          0
1123            TEC-Cliente Desistiu Agenda                       1
1124            nao usar                                          0
1125            nao usar                                          0
1126            nao usar                                          0
1127            nao usar                                          0
1128            nao usar                                          0
1129            nao usar                                          0
1130            Aguardando Retorno                                1
19              FL-Em Negociação - Sem agenda                     1
110             FL-Aguardando Agendamento                         1
111             FL-Marketing fazendo Contato                      1
112             FL-Cliente Desistiu-Encerrado pelo MKT            1
113             FL-Cliente Desistiu-Encerrar                      1
114             FL-Aguardando Agendamento                         1
115             FL-Venda aprovada-Faturamento                     1
