101605396                RETENTOR DE PLASTICO                              G01605396                                                                                                                              
105486051                DISPOSITIVO DE PLAST                              G05486051                                                                                                                              
10890321185              SILICONE NEUTRO ALTA TEMPERATURA PTO 85G BLISTER  O                        0890321185OUTROS                                                                                              
109129705                ISOLADOR DE BORRACHA                              G09129705                                                                                                                              
109130913                PINO NAO ROSCADO DE                               G09130913                                                                                                            34I               
109152245                SENSOR PARA MEDICAO                               G09152245                                                                                                            28B               
109598708                PORCA ROSCADA DE ACO                              G09598708                                                                                                                              
110129                   BOMBA DE ÓLEO CORSA/ MONTANA/ CELTA /TIGRA        O                        10129     OUTROS                                                                                              
110168                   02281-4 BOMBA DE OLEO VW 4 10168 SCHADEK          O                        10168     OUTROS                                                                                              
110254                   BOMBA DE OLEO CHEVROLET                           O                        10254     OUTROS                                                                                              
1103001                  ADITIVO CONCENTRADO ROSA PARAFLU-BIO FLUIDO ORGA  O                        103001    OUTROS                                                                                              
1103004                  ADITIVO P/USO ROSA PARAFLU-BIO LONG LIFE 12X1     O                        103004    OUTROS                                                                                              
1103022                  ADITIVO P/USO ROSA PARAFLU-BIO ORGANICO LONG LIFE O                        103022    OUTROS                                                                                              
110305                   BOMBA DE OLEO CHEVROLET 90000171                  O                        10305     OUTROS                                                                                              
110335108                APARELHO ELETRICO (F                              G10335108                                                                                                                              
111023589                VEDADOR 14 X 20                                   G11023589                                                                                             44K            44K               
111056093                BUJAO DE ACO ESTAMPA                              G11056093                                                                                             44T            44T               
111341                   PESCADOR BOMBA OLEO VW 11341 SCHADEK              O                        11341     OUTROS                                                                                              
111548579                PORCA ROSCADA DE ACO                              G11548579                                                                                                                              
111570637                PARAFUSO ROSCADO AUT                              G11570637                                                                                                                              
111571159                PINO RETENTOR DE PLA                              G11571159                                                                                                                              
111589289                PINO DE PLASTICO.                                 G11589289                                                                                                                              
111602185                PARAFUSO ROSCADO DE                               G11602185                                                                                                                              
111610164                PARAFUSO ROSCADO DE                               G11610164                                                                                                                              
111611063                PRISIONEIRO ROSCADO                               G11611063                                                                                                                              
111611334                PARAFUSO ROSCADO DE                               G11611334                                                                                                                              
111612035                RETENTOR DE PLASTICO                              G11612035                                                                                                                              
112471586                JUNTA DE BORRACHA VU                              G12471586                                                                                                            44E               
112479162                ARRUELA NAO ROSCADA                               G12479162                                                                                                                              
112479267                SELADOR DE BORRACHA                               G12479267                                                                                                                              
112538938                PILHA ELETRICA DE LI                              G12538938                                                                                                                              
112591866                SELO DE BORRACHA VUL                              G12591866                                                                                                                              
112616850                VEDADOR NAO ALVEOLAR                              G12616850                                                                                                                              
112625215                CORREIA DE BORRACHA                               G12625215                                                                                                                              
112625417                SELADOR DO CARTER DE                              G12625417                                                                                                                              
112636838                ELEMENTO FILTRANTE D                              G12636838                                                                                                                              
112643563                VEDADOR DE BORRACHA                               G12643563                                                                                                                              
112643708                SENSOR DE OXIGENIO                                G12643708                                                                                                                              
112644510                TENSIONADOR DA CORRE                              G12644510                                                                                                                              
112650486                JUNTA DE BORRACHA VU                              G12650486                                                                                                                              
112654110                VELA DE IGNICAO PARA                              G12654110                                                                                                                              
112674112                VELA DE IGNICAO PARA                              G12674112                                                                                                                              
112686657                BOMBA DE VACUO PARA                               G12686657                                                                                                                              
112693684                MODULO DE CONTROLE E                              G12693684                                                                                                                              
112706595                FILTRO DE OLEO PARA                               G12706595                                                                                                                              
11300525                 KIT LUBRIFICACAO                                  O                        1300525   OUTROS                                                                                              
113227300                CAPA DO RESERVATORIO                              G13227300                                                                                                                              
113251936                APARELHO ELETRICO (L                              G13251936                                                                                                                              
113282835                COBERTURA DA ESTRUTU                              G13282835                                                                                                                              
113306606                ISOLADOR DE BORRACHA                              G13306606                                                                                                                              
113393984                RADIADOR DE VEICULO                               G13393984                                                                                                                              
113450284                DEFLETOR DO VENTILAD                              G13450284                                                                                                                              
113456208                LIMITADOR DE ACO DA                               G13456208                                                                                                                              
113497990                APARELHO ELETRICO (L                              G13497990                                                                                                                              
113501151                MOTOR ELETRICO DE CO                              G13501151                                                                                                                              
113502353                TAMPA DO TANQUE DO R                              G13502353                                                                                                                              
113503059                APARELHO ELETRICO (L                              G13503059                                                                                                                              
113503422                LAMPADA DE FILAMENTO                              G13503422                                                                                                                              
113505399                DOBRADICA DE ACO DE                               G13505399                                                                                                                              
113509528                COBERTURA DA FECHADU                              G13509528                                                                                                                              
113513995                FECHADURA DE ACO DE                               G13513995                                                                                                                              
113518379                FECHADURA DE ACO DE                               G13518379                                                                                                                              
113518593                MODULO ELETRONICO DE                              G13518593                                                                                                                              
113524683                FECHADURA DE ACO DE                               G13524683                                                                                                                              
113526495                LANTERNA CJ-PLC                                   G13526495                                                                                                                              
113530011                SORTIDO COMPOSTO DE                               G13530011                                                                                                                              
113530679                BATENTE DE ACO DA TA                              G13530679                                                                                                                              
113530747                CHAVE COM APARELHO D                              G13530747                                                                                                                              
113530750                CHAVE COM APARELHO D                              G13530750                                                                                                                              
113540602                SENSOR DE PRESSAO PA                              G13540602                                                                                                                              
113577116                DOBRADICA DE ACO DE                               G13577116                                                                                                                              
113580508                CILINDRO DE ACO DA F                              G13580508                                                                                                                              
113582087                CILINDRO DE ACO DA F                              G13582087                                                                                                                              
