1199475    20230531000037469494081    20        44638     9BG148PK0PC4265992  011LUANC               4   0000000395199475                                  0000000000000034515237000000000033122000000000000000000000000000000033490000000000000000000000000000000000000000000000000000000000
1199022    20230522000503507904001    20        44669     9BG148FK0PC4246952  011POLLYN53            4   0000000395199022                                  0000000000000024466181000000000022604000000000000000000000000000000022699000000000000000000000000000000000000000000000000000000000
1198278    20230504000243260034721    22        45105     9BG156YK0PC4233492  011ALTEMAR             4   0000000395198278                                  0000000000000036049510000000000038815000000000000000000000000000000038900000000000000000000000000000000000000000000000000000000000
1199513    20230531000229524627041    20070     45181     9BGED76B0RB1033442  011WILLDSONG           4   0000001760199513                                  0000000000000015802687000000000016375000000000000000000000000000000016460000000000000000000000000000000000000000000000000000000000
12595631   20230509000053681614091    20070     45190     9BGEB76H0RB1078832  011CARLOSE             999900000000002595631                                 0100000000000011130051000000000000000000000000000000000000000000000011741529000000000000000000000000000000000000000000000000000000
1198386    20230508000108621294001    20070     44626     9BGEP76B0PB2349622  011MARCIOS             4   0000000395198386                                  0000000000000016856403000000000015849000000000000000000000000000000016400000000000000000000000000000000000000000000000000000000000
12590237   20230502000054823704291    20070     45190     9BGEB76H0RB1040932  011PEDROMO             999900000000002590237                                 0100000000000010419017000000000000000000000000000000000000000000000011820579000000000000000000000000000000000000000000000000000000
1198399    20230508000080007184051    20070     45180     9BGEN76H0RB1011132  011CONCEN53            4   0000000386198399                                  0000000000000014578458000000000014325000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000
12597452   20230518000056129454261    20070     45202     9BGEP76B0RB1080762  011PEDROMO             999900000000002597452                                 0100000000000012718074000000000000000000000000000000000000000000000013600080000000000000000000000000000000000000000000000000000000
12598321   20230515000405563607531    20070     45190     9BGEB76H0RB1062952  011PEDROMO             999900000000002598321                                 0100000000000009435245000000000000000000000000000000000000000000000009837100000000000000000000000000000000000000000000000000000000
1198283    20230504000010583424601    20070     45116     8AGEB76H0PR1375182  011MARCIOS             4   0000000436198283                                  0000000000000012744261000000000012075000000000000000000000000000000012500000000000000000000000000000000000000000000000000000000000
1199060    20230522000085591394001    20070     45116     8AGEB76H0PR1351092  011LILIANE             4   0000001760199060                                  0000000000000013728418000000000013250000000000000000000000000000000013500000000000000000000000000000000000000000000000000000000000
1199064    20230522000903990304251    20070     45116     8AGEB76H0PR1344442  011LILIAN53            4   0000001760199064                                  0000000000000012926361000000000012295000000000000000000000000000000012720000000000000000000000000000000000000000000000000000000000
1198775    20230515000021807714951    20070     45181     9BGED76B0RB1020252  011FRANCN53            4   0000001804198775                                  0000000000000016902003000000000016300000000000000000000000000000000016475000000000000000000000000000000000000000000000000000000000
1199511    20230531000527975544341    20270     45147     9BGEY43B0PB2566402  011IZAUO               4   0000000436199511                                  0000000000000014201420000000000014049000000000000000000000000000000014454000000000000000000000000000000000000000000000000000000000
1198479    20230509000912592404441    20270     45155     9BGEB43B0PB2519172  011ALTEMAR             4   0000000386198479                                  0000000000000012227901000000000012199000000000000000000000000000000013100000000000000000000000000000000000000000000000000000000000
12592595   20230522170070950001781    20270     45146     9BGEN43B0PB2515792  011CARLOSE             999900000000002592595                                 0100000000000011916404000000000000000000000000000000000000000000000012438320000000000000000000000000000000000000000000000000000000
12585921   20230509000222320104061    20270     45155     9BGEB43B0PB2421442  011BRENOM              999900000000002585921                                 0100000000000011288533000000000000000000000000000000000000000000000011787930000000000000000000000000000000000000000000000000000000
1199068    20230522000012483924001    20270     45147     9BGEY43B0PB2556022  011ALTEMAR             4   0000000395199068                                  0000000000000014515120000000000014049000000000000000000000000000000014844000000000000000000000000000000000000000000000000000000000
1198906    20230518000107100354201    20270     45147     9BGEY43B0PB2551242  011LILIAN53            4   0000001804198906                                  0000000000000014692058000000000014049000000000000000000000000000000014899000000000000000000000000000000000000000000000000000000000
12593088   20230510241314130001731    20270     45155     9BGEB43B0PB2505152  011CARLOSE             999900000000002593088                                 0100000000000010776545000000000000000000000000000000000000000000000011264890000000000000000000000000000000000000000000000000000000
1199463    20230531000034064789211    20270     45147     9BGEY43B0PB2550112  011LUANC               4   0000000395199463                                  0000000000000015004691000000000014505000000000000000000000000000000014700000000000000000000000000000000000000000000000000000000000
1199512    20230531000566751434681    20270     45147     9BGEY43B0PB2571382  011IZAUO               4   0000001760199512                                  0000000000000014281270000000000014049000000000000000000000000000000014599000000000000000000000000000000000000000000000000000000000
