103             REQUISICAO DE PECAS (MECANICA)                    00000000000000005002      
10610653        REVISAO DE ENTREGA                                00000000000000006002      
11              REQUISICAO                                        00000000000000000104      
11.11           REQUISIÇÃO                                        00000000000000000102      
11044710        Substituição da alça de assistência da coluna A   00000000000000010002      
111             LIMPEZA ARCONDICIONADO                            00000000000000010003      
11411230        Substituição da porta lateral dianteira           00000000000000010002      
11416650        Substituição da guarnição da porta lateral diantei00000000000000010002      
11416740        Substituição da guarnição de vedação da porta late00000000000000010002      
11441564        Pintura/envernizamento completo do painel do teto 00000000000000042002      
11442264        Pintura/envernizamento completo do painel externo 00000000000000010002      
12041650        Substituição da lanterna de freio elevada         00000000000000010002      
13420840        Substituição do rádio                             00000000000000010002      
13430990        Substituição do visor de informações ao motorista 00000000000000010002      
14022020        Substituição do módulo de controle de potência da 00000000000000010002      
14023260        Substituição da válvula solenóide da passagem do t00000000000000010002      
14029250        Substituição do tanque de combustível             00000000000000010002      
14032680        Substituição da saída de água                     00000000000000010002      
14041510        Substituição da bateria                           00000000000000003002      
14064390        Substituição da roda dentada da Árvore de Manivela00000000000000010002      
14412470        EVAPORADOR                                        00000000000000037002      
14416820        Substituição da embreagem do compressor do ar cond0000000000000001000GRL    
14417120        Substituição do compressor do ar condicionado     0000000000000001800GRL    
14485008        SUBSTITUIÇÃO DA ESPUMA DO EVAPORADOR              00000000000000086002      
16410070        Substituição da chave com transmissor integrado   00000000000000004002      
16440020        Substituição da fivela do cinto de segurança diant00000000000000010002      
16440870        Substituição da fivela central do cinto lateral do00000000000000010002      
17020700        Substituição da manopla do reclinador do encosto d00000000000000010002      
17021820        Substituição da capa de acabamento do reclinador e00000000000000010002      
17440130        Substituição do volante de direção                00000000000000003002      
18050190        Substituição do sensor do indicador de pressão dos00000000000000005002      
18469959        Transmissão automática - Reclamação do cliente não00000000000000010002      
19101760        ADIÇÃO DA BRAÇADEIRA E DO SUPORTE PARA O ESCAPAMEN00000000000000004002      
19101881        ATEND CONF  IT 047G/15                            00000000000000005002      
19103891        CAIXA DE FUS.-ADIÇÃO DE ISOLANTE NOS TERM. DE RELE00000000000000002002      
19104151        INSPEÇÃO DOS PARAFUSOS DO CUBO DAS RODAS CONFORME 00000000000000003002      
19104309        TERMINAL DE DIREÇÃO - LUBRIFICAÇÃO.               00000000000000004002      
19104676        INSP COM DISPOSITIVO - OK AMBOS LADOS             00000000000000002002      
19104725        AIRBAG LADO DO MOTORISTA                          00000000000000002002      
19106193        inspeção dos suportes fixos dos para-sois         00000000000000001002      
1AAA07          SETIMA  REVISÃO DE 70.000 KM OU 07 ANOS           00000000000000000102      
